CONTENT,INITIATION DATE,RELEVANT DEPARTMENT,CATEGORY,,,,
국립묘지의 설치 및 운영에 관한 법률 일부개정법률안,2022.4.14.,국가보훈처,보건복지,,,,
남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2022.4.14.,고용노동부,일자리,,,,
정치자금법 일부개정법률안,2022.4.13.,법제처,정치개혁,,,,
저출산·고령사회기본법 일부개정법률안,2022.4.13.,보건복지부,보건복지,,,,
민법 일부개정법률안,2022.4.13.,법무부,정치개혁,,,,
청년기본법 일부개정법률안,2022.4.13.,국무조정실,행정,,,,
청소년 기본법 일부개정법률안,2022.4.13.,여성가족부,인권/성평등,,,,
아동복지법 일부개정법률안,2022.4.13.,보건복지부,보건복지,,,,
민법 일부개정법률안,2022.4.13.,법무부,정치개혁,,,,
국민연금법 일부개정법률안,2022.4.13.,보건복지부,보건복지,,,,
아동·청소년의 성보호에 관한 법률 일부개정법률안,2022.4.13.,여성가족부,인권/성평등,,,,
가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,2022.4.13.,여성가족부,인권/성평등,,,,
감사원법 일부개정법률안,2022.4.13.,감사원,행정,,,,
남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2022.4.13.,고용노동부,일자리,,,,
구직자 취업촉진 및 생활안정지원에 관한 법률 일부개정법률안,2022.4.13.,고용노동부,일자리,,,,
조세특례제한법 일부개정법률안,2022.4.13.,기획재정부,행정,,,,
기간제 및 단시간근로자 보호 등에 관한 법률 일부개정법률안,2022.4.13.,고용노동부,일자리,,,,
조세특례제한법 일부개정법률안,2022.4.13.,기획재정부,행정,,,,
드론의 관리 및 이용 등에 관한 법률안,2022.4.13.,국토교통부,교통/건축/국토,,,,
영유아보육법 일부개정법률안,2022.4.13.,보건복지부,보건복지,,,,
지방세특례제한법 일부개정법률안,2022.4.13.,행정안전부,행정,,,,
국가공무원법 일부개정법률안,2022.4.13.,인사혁신처,행정,,,,
자본시장과 금융투자업에 관한 법률 일부개정법률안,2022.4.13.,금융위원회,경제민주화,,,,
전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,2022.4.13.,중소벤처기업부,일자리,,,,
항공안전법 일부개정법률안,2022.4.13.,국토교통부,교통/건축/국토,,,,
항공사업법 일부개정법률안,2022.4.13.,국토교통부,교통/건축/국토,,,,
공직선거법 일부개정법률안,2022.4.13.,중앙선거관리위원회,정치개혁,,,,
후계농어업인 및 청년농어업인 육성·지원에 관한 법률 일부개정법률안,2022.4.13.,농림축산식품부,농산어촌,,,,
조세특례제한법 일부개정법률안,2022.4.13.,기획재정부,행정,,,,
노동조합 및 노동관계조정법 일부개정법률안,2022.4.13.,고용노동부,일자리,,,,
집합건물의 소유 및 관리에 관한 법률 일부개정법률안,2022.4.13.,법무부,정치개혁,,,,
국적법 일부개정법률안,2022.4.13.,법무부,정치개혁,,,,
교육시설 등의 안전 및 유지관리 등에 관한 법률 일부개정법률안,2022.4.13.,교육부,육아/교육,,,,
게임산업진흥에 관한 법률 일부개정법률안,2022.4.13.,문화체육관광부,문화/예술/체육/언론,,,,
전라북도특별자치도 설치 및 새만금 경제자유특별지구 지정 등에 관한 특별법안,2022.4.12.,행정안전부,행정,,,,
공직선거법 일부개정법률안,2022.4.12.,중앙선거관리위원회,정치개혁,,,,
원자력안전법 일부개정법률안,2022.4.12.,원자력안전위원회,안전/환경,,,,
한국은행법 일부개정법률안,2022.4.12.,기획재정부,행정,,,,
공공디자인의 진흥에 관한 법률 일부개정법률안,2022.4.12.,문화체육관광부,문화/예술/체육/언론,,,,
지방공기업법 일부개정법률안,2022.4.12.,행정안전부,행정,,,,
특수수사청법안,2022.4.12.,법무부,정치개혁,,,,
공공기관의 운영에 관한 법률 일부개정법률안,2022.4.12.,기획재정부,행정,,,,
도로교통법 일부개정법률안,2022.4.12.,경찰청,행정,,,,
은행법 일부개정법률안,2022.4.12.,금융위원회,경제민주화,,,,
화물자동차 운수사업법 일부개정법률안,2022.4.12.,국토교통부,교통/건축/국토,,,,
군용비행장·군사격장 소음 방지 및 피해 보상에 관한 법률 일부개정법률안,2022.4.12.,국방부,외교/통일/국방,,,,
공무원 재해보상법 일부개정법률안,2022.4.12.,인사혁신처,행정,,,,
국가공무원법 일부개정법률안,2022.4.12.,인사혁신처,행정,,,,
지방공무원법 일부개정법률안,2022.4.12.,행정안전부,행정,,,,
문학진흥법 일부개정법률안,2022.4.12.,문화체육관광부,문화/예술/체육/언론,,,,
삼차원프린팅산업 진흥법 일부개정법률안,2022.4.12.,과학기술정보통신부,성장동력,,,,
